trek,cost,time,trip_grade,max_altitude,accomodation,best_travel_time,contact_or_book_your_trip,cost_npr,duration_days,elevation_meters,difficulty_numeric,region,trip_type,best_seasons,num_seasons,cost_per_day,elevation_category,duration_category,popularity_score,region_encoded,trip_type_encoded,season_spring,season_summer,season_autumn,season_winter
Everest Base Camp Trek,"
$1,420     USD", 16 Days,Moderate,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com,187440,16,5545,2.0,khumbu,trekking,"['spring', 'autumn', 'winter']",3,11715.0,extreme,long,80,1,1,1,0,1,1
Everest Base Camp Short Trek,"
$1,295     USD", 14 Days,Moderate,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com,170940,14,5545,2.0,khumbu,trekking,"['spring', 'autumn', 'winter']",3,12210.0,extreme,medium,50,1,1,1,0,1,1
Everest Base Camp Heli Shuttle Trek,"
$2000 USD", 12 Days,Moderate,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com,264000,12,5545,2.0,khumbu,trekking,"['spring', 'autumn', 'winter']",3,22000.0,extreme,medium,70,1,1,1,0,1,1
Everest Base Camp Heli Trek,"
$3,300     USD", 11 Days,Moderate,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com,435600,11,5545,2.0,khumbu,trekking,"['spring', 'autumn', 'winter']",3,39600.0,extreme,medium,70,1,1,1,0,1,1
Everest Base Camp Trek for Seniors,"
$1,800     USD", 20 Days,Moderate,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com,237600,20,5545,2.0,khumbu,trekking,"['spring', 'autumn', 'winter']",3,11880.0,extreme,long,70,1,1,1,0,1,1
Everest Chola Pass Trek,"
$1,720     USD", 19 Days,Strenuous,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com,227040,19,5545,3.5,khumbu,trekking,"['spring', 'autumn', 'winter']",3,11949.473684210527,extreme,long,35,1,1,1,0,1,1
Gokyo Lake Renjo La Pass Trek,"
$1,450     USD", 16 Days,Moderate,5360 m,Hotel/Guesthouse,March - May & Sept - Dec.,https://www.nepalhikingteam.com,191400,16,5360,2.0,khumbu,trekking,"['spring', 'autumn', 'winter']",3,11962.5,extreme,long,50,1,1,1,0,1,1
Everest High Passes Trek,"
$1,950     USD", 22 Days,Strenuous,5545 m,Hotel/Guesthouse,April - May & Sept - Nov,https://www.nepalhikingteam.com,257400,22,5545,3.5,khumbu,trekking,"['spring', 'autumn']",2,11700.0,extreme,extended,35,1,1,1,0,1,0
Short Everest Trek,"
$1060 USD", 7 Days,Easy To Moderate,3900 m,Hotel/Guesthouse,March - May & Sept - Dec.,https://www.nepalhikingteam.com,139920,7,3900,1.0,khumbu,trekking,"['spring', 'autumn', 'winter']",3,19988.571428571428,medium,short,60,1,1,1,0,1,1
Everest Panorama Trek,"
$1150 USD", 10 Days,Easy To Moderate,3860 m,Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.nepalhikingteam.com,151800,10,3860,1.0,khumbu,trekking,"['winter', 'spring', 'autumn']",3,15180.0,medium,medium,60,1,1,1,0,1,1
Everest View Trek,"
$1100 USD", 9 Days,Easy To Moderate,3860 m,Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.nepalhikingteam.com,145200,9,3860,1.0,khumbu,trekking,"['winter', 'spring', 'autumn']",3,16133.333333333334,medium,medium,60,1,1,1,0,1,1
Luxury Everest Base Camp Heli Trek,"
$4,200     USD", 11 Days,Moderate,5545 m,Hotel/Teahouse,March-May & Sept-Dec.,https://www.nepalhikingteam.com,554400,11,5545,2.0,khumbu,trekking,"['spring', 'autumn', 'winter']",3,50400.0,extreme,medium,70,1,1,1,0,1,1
Everest Base Camp Trek with Chola and Renjo La Pass,"
$1,900     USD", 21 Days,Strenuous,5545 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com,250800,21,5545,3.5,khumbu,trekking,"['spring', 'autumn']",2,11942.857142857143,extreme,long,65,1,1,1,0,1,0
Annapurna Base Camp Trek,"
$1,090     USD", 14 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com,143880,14,4210,2.0,annapurna,trekking,"['spring', 'autumn', 'winter']",3,10277.142857142857,high,medium,75,2,1,1,0,1,1
Annapurna Base Camp Short Trek,"
$1,090     USD", 11 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com,143880,11,4210,1.0,annapurna,trekking,"['spring', 'autumn', 'winter']",3,13080.0,high,medium,85,2,1,1,0,1,1
Instant Annapurna Base Camp Trek,"
$980     USD", 9 Days,Moderate,4230 m,Hotel/Guest Houses,March - May & Sept - Dec.,https://www.nepalhikingteam.com,129360,9,4230,2.0,annapurna,trekking,"['spring', 'autumn', 'winter']",3,14373.333333333334,high,medium,75,2,1,1,0,1,1
Annapurna Base Camp Heli Trek,"
$1,750     USD", 9 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com,231000,9,4210,1.0,annapurna,trekking,"['spring', 'autumn', 'winter']",3,25666.666666666668,high,medium,75,2,1,1,0,1,1
Mardi Himal Trek,"
$850     USD", 9 Days,Easy To Moderate,4200 m,Hotel/Guesthouses,March - May & Sept - Dec,https://www.nepalhikingteam.com,112200,9,4200,1.0,annapurna,trekking,"['spring', 'autumn', 'winter']",3,12466.666666666666,high,medium,60,2,1,1,0,1,1
Mardi Himal Trekking,"
$850     USD", 8 Days,Easy To Moderate,"4,200 m",Hotel/Guesthouse,March-May & Sept-Dec.,https://www.nepalhikingteam.com,112200,8,4200,1.0,annapurna,trekking,"['spring', 'autumn', 'winter']",3,14025.0,high,medium,60,2,1,1,0,1,1
Classic Annapurna Circuit Trek,"
$1,350     USD", 18 Days,Moderate,5416 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com,178200,18,5416,2.0,annapurna,trekking,"['spring', 'autumn']",2,9900.0,extreme,long,70,2,1,1,0,1,0
Annapurna Circuit Trek,"
$1,250     USD", 14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,https://www.nepalhikingteam.com,165000,14,5416,2.0,annapurna,trekking,"['spring', 'autumn', 'winter']",3,11785.714285714286,extreme,medium,70,2,1,1,0,1,1
Annapurna Circuit Short Trek,"
$1,250     USD", 12 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com,165000,12,5416,3.5,annapurna,trekking,"['spring', 'autumn']",2,13750.0,extreme,medium,65,2,1,1,0,1,0
Annapurna Luxury Trek,"
$1,450     USD", 9 Days,Easy To Moderate,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,https://www.nepalhikingteam.com,191400,9,2012,1.0,annapurna,trekking,"['spring', 'winter']",2,21266.666666666668,low,medium,60,2,1,1,0,0,1
Annapurna Panorama Trek,"
$860     USD", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,https://www.nepalhikingteam.com,113520,9,3210,1.0,annapurna,trekking,"['winter', 'spring', 'autumn']",3,12613.333333333334,medium,medium,60,2,1,1,0,1,1
Annapurna Tilicho Lake Trek,"
$1,450     USD", 17 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com,191400,17,5416,3.5,annapurna,trekking,"['spring', 'autumn']",2,11258.823529411764,extreme,long,45,2,1,1,0,1,0
Short Annapurna Trek,"
$590     USD", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,https://www.nepalhikingteam.com,77880,5,1990,1.0,annapurna,trekking,"['winter', 'spring', 'autumn']",3,15576.0,low,short,70,2,1,1,0,1,1
Manaslu Circuit Trek,"
$1,450     USD", 15 Days,Strenuous,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com,191400,15,5106,3.5,manaslu,trekking,"['spring', 'autumn']",2,12760.0,extreme,long,55,4,1,1,0,1,0
Manaslu Circuit Trekking,"
$1,380     USD", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,https://www.nepalhikingteam.com,182160,14,5220,2.0,manaslu,trekking,"['spring', 'autumn']",2,13011.42857142857,extreme,medium,60,4,1,1,0,1,0
Tsum Valley with Manaslu Trek,"
$1,850     USD", 20 Days,Strenuous,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com,244200,20,5220,3.5,manaslu,trekking,"['spring', 'autumn']",2,12210.0,extreme,long,45,4,1,1,0,1,0
Upper Mustang Trek,"
$2,150     USD", 17 Days,Easy To Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com,283800,17,4210,1.0,mustang,trekking,"['spring', 'autumn']",2,16694.117647058825,high,long,50,5,1,1,0,1,0
Upper Mustang Trek with Yara,"
$2,300     USD", 18 Days,Easy To Moderate,4200 m,Hotel/Lodges,March - Nov,https://www.nepalhikingteam.com,303600,18,4200,1.0,mustang,trekking,"['spring', 'autumn']",2,16866.666666666668,high,long,50,5,1,1,0,1,0
Upper Mustang Tiji Festival Trek,"
$2,150     USD", 18 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com,283800,18,4210,1.0,mustang,trekking,"['spring', 'autumn']",2,15766.666666666666,high,long,50,5,1,1,0,1,0
Langtang Valley Trek,"
$750     USD", 10 Days,Easy To Moderate,5050 m,Hotel/Teahouse,March-May & Sept-Dec,https://www.nepalhikingteam.com,99000,10,5050,1.0,langtang,trekking,"['spring', 'autumn', 'winter']",3,9900.0,extreme,medium,85,3,1,1,0,1,1
Langtang Gosaikunda Trek,"
$1,180     USD", 16 Days,Easy To Moderate,4600m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com,155760,16,4600,1.0,langtang,trekking,"['spring', 'autumn', 'winter']",3,9735.0,high,long,75,3,1,1,0,1,1
Tamang Heritage Trek,"
$920     USD", 14 Days,Easy To Moderate,5050 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com,121440,14,5050,1.0,langtang,cultural,"['spring', 'autumn', 'winter']",3,8674.285714285714,extreme,medium,60,3,2,1,0,1,1
Tamang Heritage Trail,"
$750     USD", 8 Days,Easy,2607 m,Teahouses/Lodges,Jan - May & Sept - Dec,https://www.nepalhikingteam.com,99000,8,2607,1.0,langtang,cultural,"['winter', 'spring', 'autumn']",3,12375.0,low,medium,70,3,2,1,0,1,1
Helambu Trek,"
$780     USD", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,https://www.nepalhikingteam.com,102960,9,3650,1.0,helambu,trekking,"['winter', 'spring', 'autumn']",3,11440.0,medium,medium,60,10,1,1,0,1,1
Annapurna Base Camp Trek  ," $1,499     USD", 11 Days,Moderate+Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com,197868,11,4130,2.0,annapurna,trekking,"['winter', 'spring', 'autumn']",3,17988.0,high,medium,75,2,1,1,0,1,1
Everest Base Camp Trek for Youths  ," $1,750     USD", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com,231000,14,5545,3.0,khumbu,trekking,"['winter', 'spring', 'autumn']",3,16500.0,extreme,medium,65,1,1,1,0,1,1
Everest Base Camp Short Trek  ," $1,499     USD", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com,197868,14,5545,3.0,khumbu,trekking,"['winter', 'spring', 'autumn']",3,14133.42857142857,extreme,medium,45,1,1,1,0,1,1
Everest Base Camp Trek  ," $1,499     USD", 16 Days,Moderate+Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com,197868,16,5545,2.0,khumbu,trekking,"['winter', 'spring', 'autumn']",3,12366.75,extreme,long,80,1,1,1,0,1,1
Annapurna Circuit Trek  ," $1,499     USD", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com,197868,17,5416,3.0,annapurna,trekking,"['winter', 'spring', 'autumn']",3,11639.29411764706,extreme,long,65,2,1,1,0,1,1
Everest Base Camp Luxury Lodge Trek  ," $1,499     USD", 15 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com,197868,15,5545,3.0,khumbu,trekking,"['winter', 'spring', 'autumn']",3,13191.2,extreme,long,75,1,1,1,0,1,1
Everest Base Camp Trek via Gokyo Lakes and Cho La Pass  ," $1,499     USD", 18 days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com,197868,18,5545,3.0,khumbu,trekking,"['winter', 'spring', 'autumn']",3,10992.666666666666,extreme,long,75,1,1,1,0,1,1
